State,  Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten,    Elementary school (grades 1-8),    High school (grades 9-12),    College or graduate school,  Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate degree,    Bachelor's degree,    Graduate or professional degree,    Percent high school graduate or higher,    Percent bachelor's degree or higher,  Population 15 years and over,    Never married,"    Now married, except separated",    Separated,    Widowed,      Female,    Divorced,      Female,  Grandparent living in household with one or more own grandchildren under 18 years,    Grandparent responsible for grandchildren,  Civilian population 18 years and over,    Civilian veterans,  Population 5 to 20 years,    With a disability,  Population 21 to 64 years,    With a disability,      Percent employed,    No disability,      Percent employed,  Population 65 years and over,    With a disability,  Population 5 years and over,    Same house in 1995,    Different house in the U.S. in 1995,      Same county,      Different county,        Same state,        Different state,    Elsewhere in 1995,NATIVITY AND PLACE OF BIRTH,  Total population,    Native,      Born in United States,        State of residence,        Different state,      Born outside United States,    Foreign born,      Entered 1990 to March 2000,      Naturalized citizen,      Not a citizen,  Total (excluding born at sea),    Europe,    Asia,    Africa,    Oceania,    Latin America,    Northern America,  Population 5 years and over,    English only,    Language other than English,      Speak English less than 'very well,      Spanish,"        Speak English less than ""very well""",      Other Indo-European languages,"        Speak English less than ""very well""",      Asian and Pacific Island languages,"        Speak English less than ""very well""",  Total population,  Total ancestries reported,    Arab,    Czech[1],    Danish,    Dutch,    English,    French (except Basque)[1],    French Canadian[1],    German,    Greek,    Hungarian,    Irish[1],    Italian,    Lithuanian,    Norwegian,    Polish,    Portuguese,    Russian,    Scotch-Irish,    Scottish,    Slovak,    Subsaharan African,    Swedish,    Swiss,    Ukrainian,    United States or American,    Welsh,    West Indian (excluding Hispanic groups),    Other ancestries
Maryland,1475484,96052,75440,641844,307671,354477,3495595,178169,386917,933836,711127,186186,629304,470056,83.8,31.4,4159636,1195902,2197858,128941,270452,220370,366483,220275,125697,50974,3910942,524230,1193904,96501,3076165,529949,61.7,2546216,80.3,572977,227895,4945043,2752061,2045675,1085423,960252,465100,495152,147307,,5296486,4778171,4718233,2610963,2107270,59938,518315,228429,234711,283604,518315,86840,181504,62688,1957,176026,9300,4945043,4322329,622714,246287,230829,108578,198932,58632,135899,65973,5296486,5437506,20401,27492,11652,55393,476294,95885,22206,833718,31149,22941,623335,267573,17866,27131,184364,8396,75818,68972,90298,12203,98560,33026,12212,20014,305558,39601,55244,1900204
Massachusetts,1726111,122930,86479,703094,340205,473403,4273275,247556,403537,1165489,730135,308263,834554,583741,84.8,33.2,5091369,1581452,2631643,100839,354485,288734,422950,254419,98325,27915,4847708,558933,1355512,116151,3698327,663354,60,3034973,80.6,807006,305241,5954249,3481597,2266930,1356297,910633,463784,446849,205722,,6349097,5576114,5432764,4196702,1236062,143350,772983,312288,337617,435366,772972,248614,201598,47770,2517,231759,40714,5954249,4838679,1115570,459073,370011,162908,529784,194256,171253,89931,6349097,7309014,53511,15562,16335,43727,721905,508784,310572,377152,78172,18427,1428472,860079,51054,36106,323210,279722,110033,99759,162357,6690,80274,119267,10191,22616,244572,23719,81451,1225295
Michigan,2780378,173083,149186,1225217,597056,635836,6415941,299014,765119,2010861,1496576,448112,878680,517579,83.4,21.8,7775603,2162860,4188512,111578,513010,417088,799643,450439,166705,70044,7341880,913573,2335938,197611,5631322,1017943,54.8,4613379,77.9,1171080,495677,9268782,5307228,3801892,2324137,1477755,1010117,467638,159662,,9938444,9414855,9357816,7490125,1867691,57039,523589,235269,239955,283634,523585,156988,209416,16735,2083,88704,49659,9268782,8487401,781381,294606,246688,100689,303122,96900,104467,48454,9938444,10859658,116331,62053,44267,480774,988625,489589,191899,2028210,44214,98036,1068901,450952,30977,85753,854844,4993,71015,130282,224803,28049,51435,161301,24700,46350,517701,50609,11135,2501860
Minnesota,1362507,90516,71974,595721,308038,296258,3164345,158858,222487,912672,759153,243093,605210,262872,87.9,27.4,3857755,1083369,2172676,40287,224775,184628,336648,185992,45217,17682,3630355,464968,1168374,82719,2803699,392313,65,2411386,84.3,554138,204204,4591491,2617599,1889387,933981,955406,600156,355250,84505,,4919479,4659016,4632962,3451522,1181440,26054,260463,141968,97308,163155,260454,43652,105153,34469,1375,62556,13249,4591491,4201503,389988,167511,132066,61817,110644,30433,103520,57969,4919479,6181742,13923,101702,88924,99944,309802,202946,59719,1806650,10619,12279,552952,111270,5633,850742,240405,2487,35513,46370,62152,7786,43628,486507,23140,14356,142500,21677,3991,824125
Mississippi,789903,54058,47384,363300,172164,152997,1757517,169178,307852,516091,366744,100561,194325,102766,72.9,16.9,2203615,610133,1133554,62987,175143,144954,221798,122912,84157,48061,2054721,249431,706937,61061,1542401,378099,49.1,1164302,74.3,325801,168410,2641453,1544846,1071338,595347,475991,249203,226788,25269,,2844658,2804750,2791115,2113883,677232,13635,39908,19781,16098,23810,39904,7643,14434,1270,249,14582,1726,2641453,2545931,95522,36059,50515,20856,23700,5805,13558,6303,2844658,2289356,4215,2220,2617,18713,173633,66130,9932,129275,2662,1843,195741,40401,537,7088,10155,1059,2356,55077,35185,507,20469,7155,1601,723,403518,6951,1734,1087859
Missouri,1479573,102502,77764,663155,316637,319515,3634906,237618,441477,1189670,796999,184666,507892,276584,81.3,21.6,4414391,1095920,2447824,79774,315532,259661,475341,264469,90200,43907,4153926,592271,1288509,103038,3120642,567320,55.3,2553322,80,711417,303279,5226022,2803368,2355291,1229176,1126115,652746,473369,67363,,5595211,5444015,5412743,3792261,1620482,31272,151196,79223,61786,89410,151195,43101,52733,8453,1580,39048,6280,5226022,4961741,264281,103019,110752,45990,97816,31383,41970,21210,5595211,5387527,12927,31006,18207,99948,528935,195586,18079,1313951,12688,13694,711995,176209,5571,40887,90448,3800,25839,92706,83047,4612,26140,55774,21909,6228,587082,34187,4658,1171414
Montana,241754,13694,12033,108571,56201,51255,586621,25200,50158,183415,150467,34420,100758,42203,87.2,24.4,715915,171715,410379,9012,46730,37543,78079,41837,11098,6053,668651,108476,212617,15111,504718,85337,55.4,419381,79.1,114359,45284,847362,453995,386483,191049,195434,83904,111530,6884,,902195,885799,878931,505966,372965,6868,16396,4751,9482,6914,16396,6525,3305,184,258,1565,4559,847362,803031,44331,12663,12953,3411,17978,5065,3066,1323,902195,1045819,1157,8703,15204,22796,114216,38230,10213,243648,2290,3250,134364,28031,1136,95525,17774,1434,8398,23117,27170,1144,395,30721,5179,1986,46131,9312,199,154096
Nebraska,480705,30386,25269,204490,108245,112315,1087241,58376,87485,339952,263692,79596,179181,78959,86.6,23.7,1342422,346102,770109,15034,89953,74341,121224,66973,17401,8454,1253717,173189,408944,27486,935583,142647,64.9,792936,84.4,216774,80401,1594700,872471,693947,372885,321062,167037,154025,28282,,1711263,1636625,1626363,1147815,478548,10262,74638,43162,23918,50720,74638,10837,19202,2649,347,39991,1612,1594700,1469046,125654,57772,77655,39825,27905,7862,15014,8142,1711263,1957736,4696,93286,52470,38523,163651,44841,6704,661133,3161,2740,229805,42979,3215,39536,62475,1226,11002,24964,23173,896,5195,84294,8596,1944,76910,10374,753,259194
Nevada,492885,27345,30087,232258,104564,98631,1310176,84237,169137,384270,353797,80860,158078,79797,80.7,18.2,1563580,389244,835801,36447,85991,66569,216097,113699,45286,18685,1480440,238128,436023,33466,1173263,255628,61.4,917635,74.9,214065,86816,1853720,692787,1085721,567036,518685,52562,466123,75212,,1998257,1681664,1655486,425626,1229860,26178,316593,139294,116786,199807,316593,32202,72350,4910,2094,194268,10769,1853720,1425748,427972,207687,299947,162301,47183,12295,68523,29222,1998257,2136506,7232,9601,19400,31481,201447,63148,14104,282403,9278,10285,220488,132515,3448,38353,46973,11218,20408,28962,37780,2542,11111,36105,7460,3982,95995,14947,2714,773126
New Hampshire,332888,20868,15899,151310,69979,74832,823987,32426,71328,247723,164634,71772,153874,82230,87.4,28.7,978641,243840,560995,13320,57763,46372,102723,56832,14660,4534,926066,139038,281938,23641,724541,116642,64.2,607899,83.9,139078,53610,1160340,642397,501335,259110,242225,79975,162250,16608,,1235786,1181632,1170140,534558,635582,11492,54154,20191,25761,28393,54154,18248,13481,1864,350,7759,12452,1160340,1064252,96088,28073,18647,6907,64067,15607,9891,4618,1235786,1459622,6833,3401,3710,12626,223026,180947,127153,105906,15279,3784,240804,105610,7256,10301,51183,13095,10694,27985,53797,1232,2006,24911,2683,3457,73700,8240,1690,138313
